maintenance_id,workorder_id,asset_id,completion_date,downtime_hours,maintenance_cost_eur
299,299,374,2023-06-27,34.43,2649
300,300,89,2023-07-29,25.56,1441
301,301,399,2022-01-06,45.25,1469
302,302,409,2023-10-26,14.48,2177
303,303,114,2022-04-29,47.62,550
304,304,149,2023-08-21,30.85,359
305,305,234,2023-07-28,27.59,270
306,306,153,2022-10-11,20.1,3865
307,307,390,2022-08-20,47.08,3563
308,308,402,2023-12-04,18.65,1501
309,309,474,2023-02-10,37.52,2356
310,310,355,2023-07-15,14.26,3596
311,311,466,2023-05-31,9.34,716
312,312,13,2022-07-26,17.88,4263
313,313,453,2023-02-28,32.34,1954
314,314,395,2023-07-10,19.56,2277
315,315,10,2023-08-28,35.37,2664
316,316,265,2022-01-10,15.01,1639
317,317,164,2023-05-20,32.64,1875
318,318,141,2022-08-11,7.21,1353
319,319,67,2022-07-30,33.35,4735
320,320,115,2022-04-14,21.76,3889
321,321,291,2022-03-08,8.24,1484
322,322,374,2022-10-01,9.86,3180
323,323,148,2022-05-07,29.58,975
324,324,247,2022-07-21,25.13,3404
325,325,333,2023-08-06,46.59,2180
326,326,79,2023-08-14,7.21,1224
327,327,122,2023-10-02,38.07,244
328,328,379,2022-08-17,31.98,3693
329,329,423,2022-12-26,38.43,504
330,330,228,2022-12-29,12.7,1697
331,331,306,2023-08-21,16.16,217
332,332,162,2022-02-02,10.41,4669
333,333,370,2022-02-21,23.49,3175
334,334,403,2022-09-01,16.31,3959
335,335,112,2023-08-09,29.17,4057
336,336,74,2022-11-17,43.72,557
337,337,165,2022-01-10,10.43,3765
338,338,96,2023-04-09,28.51,1648
339,339,466,2023-01-24,39.67,3894
340,340,224,2022-01-30,7.25,1754
341,341,79,2023-05-30,6.31,1224
342,342,97,2022-03-14,22.95,2727
343,343,373,2023-10-22,45.25,4067
344,344,311,2022-11-21,9.29,1930
345,345,477,2023-07-20,10.93,3380
346,346,21,2022-02-25,47.67,3727
347,347,221,2022-09-11,26.19,4550
348,348,432,2023-10-13,30.13,4305
349,349,291,2022-02-28,35.25,242
350,350,30,2022-12-23,39.53,2696
351,351,163,2023-11-07,46.4,1811
352,352,264,2023-03-17,37.17,1813
353,353,161,2022-04-07,28.04,943
354,354,156,2022-09-16,36.92,1839
355,355,59,2023-05-12,1.66,3762
356,356,409,2022-08-15,30.81,2047
357,357,27,2022-10-17,43.53,3532
358,358,365,2023-03-29,20.05,1233
359,359,446,2023-12-08,9.46,3994
360,360,427,2022-03-30,6.15,460
361,361,470,2022-08-29,31.41,3836
362,362,141,2023-10-23,4.44,2429
363,363,264,2022-06-30,38.5,3057
364,364,303,2023-06-24,45.96,4023
365,365,372,2022-09-28,39.25,3465
366,366,411,2022-09-07,25.82,4427
367,367,397,2023-08-13,38.98,3751
368,368,460,2023-04-12,17.63,2206
369,369,79,2023-11-09,21.34,3829
370,370,45,2023-10-10,35.17,2570
371,371,332,2022-08-24,20.47,2928
372,372,288,2023-06-28,17.18,4423
373,373,342,2023-07-29,10.76,944
374,374,425,2023-02-22,12.0,504
375,375,257,2022-10-07,45.02,1888
376,376,245,2023-11-29,23.21,2055
377,377,264,2023-02-12,18.15,2915
378,378,133,2022-07-30,30.38,2548
379,379,441,2022-10-29,14.89,1558
380,380,84,2023-07-20,44.49,2947
381,381,444,2022-10-27,37.58,2701
382,382,436,2023-08-28,4.58,560
383,383,482,2023-06-22,29.4,2370
384,384,398,2022-10-04,17.64,276
385,385,136,2023-07-22,8.05,703
386,386,126,2023-11-11,24.61,3334
387,387,319,2023-04-01,12.32,2256
388,388,54,2022-01-28,27.32,576
389,389,98,2023-07-10,34.09,3668
390,390,5,2022-08-05,17.55,4632
391,391,69,2023-06-28,27.34,733
392,392,494,2022-06-23,27.24,2938
393,393,279,2022-05-21,47.71,1144
394,394,21,2022-01-28,45.81,2628
395,395,80,2022-11-04,6.37,4037
396,396,135,2022-10-14,5.06,472
397,397,290,2022-06-26,21.83,402
398,398,83,2022-11-03,40.16,3024
399,399,16,2023-03-07,46.55,4116
400,400,143,2023-11-02,2.1,1192
401,401,467,2022-07-04,47.94,3170
402,402,358,2023-08-05,35.83,346
403,403,297,2023-09-01,26.48,2786
404,404,434,2023-06-26,35.79,396
405,405,208,2023-10-10,5.12,282
406,406,407,2023-05-10,15.27,2844
407,407,82,2023-10-05,17.03,3278
408,408,133,2023-01-07,47.11,3641
409,409,8,2022-10-31,15.85,1217
410,410,318,2022-09-12,18.72,2162
411,411,320,2023-02-20,3.29,4442
412,412,201,2023-01-17,36.8,4416
413,413,97,2022-10-27,39.82,4657
414,414,2,2022-06-06,37.48,370
415,415,401,2023-06-15,32.11,2616
416,416,478,2023-06-13,13.96,2278
417,417,184,2023-01-14,22.94,2304
418,418,150,2022-10-17,1.1,4249
419,419,217,2022-11-24,46.88,252
420,420,74,2023-03-24,32.23,4874
421,421,355,2023-10-18,24.31,3700
422,422,205,2022-11-17,24.31,3469
423,423,311,2023-10-26,18.5,1540
424,424,289,2023-02-24,14.57,3328
425,425,238,2022-09-21,15.6,4132
426,426,457,2022-07-14,25.49,1340
427,427,177,2022-02-14,40.09,4861
428,428,443,2023-06-30,8.59,2928
429,429,138,2022-08-02,24.15,4277
430,430,77,2023-07-07,3.33,1579
431,431,495,2022-04-05,22.4,3506
432,432,89,2023-04-02,15.04,3637
433,433,87,2023-06-15,24.9,655
434,434,464,2023-10-11,17.01,2099
435,435,479,2023-10-21,2.11,1913
436,436,359,2022-04-17,34.59,2309
437,437,427,2022-12-03,1.27,3659
438,438,85,2023-06-15,7.48,2865
439,439,296,2023-02-10,12.82,3005
440,440,45,2023-07-06,5.98,4196
441,441,49,2022-09-07,19.88,2450
442,442,272,2022-02-21,45.96,2996
443,443,156,2023-05-07,13.58,251
444,444,89,2022-04-11,32.2,3858
445,445,248,2022-07-05,30.49,2728
446,446,260,2022-08-31,23.91,4329
447,447,13,2023-08-27,34.78,676
448,448,305,2023-07-24,21.95,3806
449,449,154,2022-02-14,35.33,4119
450,450,283,2023-12-01,17.49,4666
451,451,13,2023-10-03,39.53,1741
452,452,97,2022-12-01,9.06,4427
453,453,452,2023-10-28,41.4,1406
454,454,49,2023-10-22,9.18,2547
455,455,315,2022-09-26,42.74,3965
456,456,90,2022-11-10,41.51,1811
457,457,260,2022-11-05,3.95,1243
458,458,256,2022-02-18,2.16,539
459,459,427,2023-09-02,15.0,2334
460,460,342,2022-12-09,23.65,2354
461,461,179,2022-05-06,17.46,427
462,462,278,2022-11-12,13.55,2304
463,463,274,2023-07-29,11.28,4060
464,464,354,2023-09-02,29.43,4680
465,465,428,2023-05-24,41.03,2298
466,466,217,2022-06-12,28.35,2561
467,467,188,2022-04-09,40.88,4090
468,468,137,2023-05-20,44.56,4736
469,469,284,2023-08-03,24.64,566
470,470,66,2022-12-26,16.75,3762
471,471,192,2022-02-10,16.91,591
472,472,303,2023-10-10,47.3,1021
473,473,463,2023-03-27,46.96,4282
474,474,21,2022-05-18,28.11,3628
475,475,261,2023-01-27,36.86,1130
476,476,397,2023-04-13,34.73,293
477,477,391,2022-10-06,6.44,4675
478,478,261,2023-10-23,34.55,1728
479,479,443,2023-11-27,4.2,4324
480,480,384,2023-05-09,18.83,4345
481,481,336,2023-02-09,17.71,2532
482,482,76,2022-06-18,4.44,2492
483,483,128,2022-09-20,38.68,2512
484,484,181,2022-11-23,5.81,4986
485,485,243,2022-11-18,39.31,2808
486,486,428,2023-05-26,42.98,4718
487,487,442,2023-05-14,13.49,4790
488,488,305,2022-05-19,12.3,1727
489,489,163,2022-10-16,27.12,4906
490,490,380,2022-04-17,43.59,4203
491,491,1,2022-12-04,33.56,1265
492,492,27,2023-10-17,35.69,1446
493,493,393,2023-08-14,39.66,3646
494,494,318,2022-05-17,27.37,4514
495,495,439,2023-02-26,7.2,1628
496,496,331,2023-05-03,30.5,2456
497,497,385,2022-04-15,13.38,2260
498,498,34,2023-06-28,43.51,4761
499,499,264,2022-11-27,23.16,448
500,500,29,2022-12-20,39.51,3057
501,501,218,2023-09-13,12.94,1386
502,502,491,2023-04-14,28.56,3413
503,503,308,2023-06-23,16.14,4038
504,504,435,2022-02-26,37.46,1462
505,505,212,2023-06-12,39.25,2136
506,506,282,2023-08-26,46.63,4416
507,507,49,2022-03-10,28.52,483
508,508,419,2022-08-29,19.79,4200
509,509,99,2023-07-30,18.62,4298
510,510,182,2023-04-03,22.97,2296
511,511,499,2022-01-26,14.91,245
512,512,391,2023-10-24,4.91,3786
513,513,209,2023-03-10,36.15,3071
514,514,388,2022-11-23,38.05,2578
515,515,268,2022-02-10,14.99,3939
516,516,114,2022-08-01,24.0,3584
517,517,17,2022-02-25,7.16,2969
518,518,435,2022-09-02,8.13,1969
519,519,58,2023-08-03,27.6,421
520,520,347,2023-11-13,45.84,1756
521,521,295,2023-01-16,38.78,3525
522,522,442,2023-08-08,41.55,4422
523,523,495,2023-04-06,25.61,2321
524,524,369,2023-10-28,13.76,414
525,525,374,2022-02-05,2.17,4818
526,526,277,2023-10-26,30.15,3961
527,527,348,2023-10-23,19.47,2069
528,528,307,2023-06-01,27.54,4297
529,529,207,2023-01-08,39.14,2839
530,530,254,2022-09-04,21.79,565
531,531,82,2023-07-28,2.22,1446
532,532,199,2022-10-09,3.92,2496
533,533,322,2023-03-05,41.8,3420
534,534,386,2022-10-24,27.51,3095
535,535,480,2022-03-25,29.7,1916
536,536,35,2022-04-15,46.63,2805
537,537,278,2022-08-27,1.73,2527
538,538,121,2022-06-21,4.78,2641
539,539,116,2022-05-20,17.27,264
540,540,160,2023-11-15,5.42,607
541,541,163,2022-05-24,26.63,4459
542,542,160,2022-11-22,43.75,3136
543,543,123,2023-11-07,32.56,2599
544,544,173,2022-08-09,7.49,4390
545,545,289,2022-12-22,28.09,4693
546,546,406,2023-10-29,8.89,2812
547,547,303,2022-07-07,46.1,4151
548,548,350,2023-09-04,37.48,4644
549,549,10,2022-09-26,6.26,3732
550,550,348,2023-07-16,3.79,4347
551,551,153,2022-02-20,6.3,3976
552,552,122,2023-01-21,45.72,1121
553,553,82,2023-03-19,43.48,526
554,554,466,2022-10-24,24.01,3455
555,555,226,2023-06-01,2.69,1582
556,556,242,2022-10-15,19.89,1812
557,557,99,2022-03-19,10.01,4456
558,558,159,2022-03-01,46.26,1307
559,559,203,2022-05-16,36.76,3227
560,560,210,2022-11-17,1.38,4480
561,561,277,2023-08-25,21.53,4572
562,562,235,2023-07-19,46.19,4796
563,563,51,2023-01-26,25.18,2724
564,564,454,2023-09-19,4.34,730
565,565,308,2022-01-11,31.44,203
566,566,152,2022-09-16,9.89,4583
567,567,201,2022-12-09,10.55,2463
568,568,41,2022-04-12,20.67,424
569,569,319,2023-03-04,33.84,3746
570,570,180,2023-09-16,6.35,2615
571,571,364,2022-03-02,39.15,987
572,572,142,2022-06-06,41.41,1845
573,573,127,2023-03-20,36.52,786
574,574,47,2023-08-01,1.19,3877
575,575,208,2022-11-20,26.63,466
576,576,313,2022-06-28,20.34,2472
577,577,274,2023-03-10,23.24,2827
578,578,29,2022-06-18,44.74,1121
579,579,43,2022-11-01,33.36,1094
580,580,134,2022-05-22,19.73,3517
581,581,136,2023-04-02,14.76,4766
582,582,288,2022-07-25,4.39,3901
583,583,415,2022-09-08,26.11,896
584,584,19,2022-06-14,6.89,3110
585,585,69,2023-05-26,22.14,1493
586,586,164,2022-07-14,12.85,1973
587,587,235,2023-04-01,8.33,630
588,588,437,2023-07-08,44.15,4440
589,589,461,2022-04-04,9.95,360
590,590,53,2022-08-29,13.32,3721
591,591,54,2023-09-11,31.51,2929
592,592,239,2022-11-30,33.21,3878
593,593,396,2022-07-06,44.74,1187
594,594,424,2022-03-13,40.17,1644
595,595,457,2023-02-23,6.97,2151
596,596,285,2023-09-13,18.41,498
597,597,421,2022-12-09,30.14,3924
598,598,20,2022-06-29,13.64,3171
599,599,454,2023-04-19,38.89,2355
600,600,276,2022-06-21,28.32,846
601,601,164,2022-02-21,18.8,3706
602,602,23,2022-03-06,32.25,4646
603,603,62,2023-01-19,5.64,2946
604,604,325,2022-10-30,21.45,2317
605,605,335,2023-11-24,2.79,4932
606,606,249,2022-02-22,36.96,3168
607,607,270,2022-11-17,27.73,3384
608,608,28,2023-11-15,7.5,4143
609,609,337,2023-02-24,34.74,4181
610,610,43,2022-10-03,38.84,4225
611,611,376,2023-05-07,42.17,2969
612,612,291,2022-03-27,8.54,2081
613,613,230,2022-04-20,23.96,1485
614,614,332,2022-05-23,29.39,3649
615,615,185,2023-01-01,15.36,4896
616,616,122,2023-11-14,41.71,3140
617,617,453,2022-04-06,23.06,4253
618,618,296,2022-09-21,36.5,618
619,619,339,2022-02-03,20.7,4972
620,620,164,2023-11-27,8.52,530
621,621,61,2022-11-14,28.29,903
622,622,108,2022-01-28,22.33,2258
623,623,385,2022-11-13,3.89,4060
624,624,23,2023-08-03,17.26,4563
625,625,328,2023-05-19,3.97,4620
626,626,374,2023-09-15,26.03,2692
627,627,62,2022-10-20,18.57,4524
628,628,228,2022-12-13,25.43,4240
629,629,251,2023-11-01,32.53,2644
630,630,2,2022-11-05,8.09,3592
631,631,433,2022-07-20,32.58,2275
632,632,43,2023-10-26,16.46,2118
633,633,40,2022-01-10,40.7,1917
634,634,284,2023-05-04,31.69,2473
635,635,129,2022-04-30,35.14,4707
636,636,255,2022-01-18,40.07,1260
637,637,444,2022-04-24,19.95,1052
638,638,448,2022-10-08,22.62,1606
639,639,74,2022-10-05,29.01,1746
640,640,252,2022-09-05,9.85,1245
641,641,422,2022-02-26,17.64,2010
642,642,392,2022-02-07,28.51,4044
643,643,104,2023-07-25,45.14,2269
644,644,489,2023-05-18,23.02,3987
645,645,282,2022-02-02,33.45,729
646,646,395,2022-06-08,19.89,1099
647,647,140,2023-08-31,47.59,4861
648,648,421,2022-10-11,36.17,2123
649,649,495,2022-06-30,42.39,469
650,650,475,2023-03-24,44.97,631
651,651,455,2022-09-09,30.86,3844
652,652,302,2022-03-21,43.68,4128
653,653,288,2023-07-16,22.0,352
654,654,359,2022-08-26,23.12,1637
655,655,215,2023-04-09,13.12,504
656,656,241,2023-03-16,44.87,4376
657,657,399,2023-01-25,4.53,3458
658,658,237,2022-01-31,14.87,4032
659,659,383,2022-10-20,33.07,233
660,660,313,2023-12-02,42.96,944
661,661,333,2023-11-08,44.3,1693
662,662,336,2022-02-09,7.01,1537
663,663,161,2023-06-12,31.79,1819
664,664,183,2022-11-15,28.56,4947
665,665,326,2023-08-22,6.28,2652
666,666,496,2022-01-22,30.82,2586
667,667,127,2022-01-19,41.52,3476
668,668,79,2022-04-10,26.11,3924
669,669,470,2023-04-25,35.82,535
670,670,446,2023-03-27,20.69,3405
671,671,255,2022-03-26,27.7,2728
672,672,494,2023-06-22,21.05,3735
673,673,462,2022-02-02,3.9,3363
674,674,162,2022-01-25,28.57,2906
675,675,250,2023-08-06,36.13,419
676,676,366,2022-08-11,5.59,897
677,677,86,2023-10-22,32.25,3831
678,678,171,2022-10-02,15.58,556
679,679,274,2023-07-22,24.44,3509
680,680,73,2023-02-01,43.41,3009
681,681,327,2022-07-10,36.52,3847
682,682,111,2023-03-31,36.37,1105
683,683,31,2022-07-22,20.96,1412
684,684,194,2022-01-23,5.96,407
685,685,252,2022-11-05,20.28,1929
686,686,54,2022-11-06,17.88,3898
687,687,483,2022-05-02,10.12,4476
688,688,161,2022-02-22,19.11,2174
689,689,455,2023-02-08,4.4,1497
690,690,266,2023-09-06,28.43,219
691,691,88,2022-08-18,13.05,3625
692,692,26,2023-02-20,36.04,3355
693,693,338,2022-01-22,16.24,1550
694,694,54,2022-02-11,14.41,2119
695,695,7,2023-04-21,45.06,1523
696,696,476,2023-03-24,6.07,3428
697,697,353,2022-08-13,35.7,3493
698,698,147,2022-12-06,12.41,1951
699,699,455,2023-03-18,8.48,3178
700,700,103,2023-01-09,2.68,1858
701,701,59,2022-07-11,44.95,2645
