cycle_id,asset_id,cycle_start,duration_minutes,load_percentage
309,301,2022-01-30 01:00:00,398,82.6
310,300,2022-01-02 20:00:00,165,53.8
311,218,2022-01-12 10:00:00,76,93.9
312,277,2022-01-16 07:00:00,57,24.6
313,289,2022-01-08 13:00:00,581,84.4
314,377,2022-01-02 09:00:00,576,63.8
315,19,2022-01-08 20:00:00,81,47.2
316,450,2022-01-19 12:00:00,85,31.0
317,122,2022-01-28 09:00:00,387,24.3
318,328,2022-01-09 06:00:00,92,92.3
319,372,2022-01-03 18:00:00,413,49.4
320,250,2022-01-06 01:00:00,254,88.8
321,53,2022-01-11 17:00:00,189,49.1
322,313,2022-01-26 12:00:00,173,56.5
323,116,2022-01-12 01:00:00,231,28.0
324,23,2022-01-20 17:00:00,173,63.0
325,73,2022-01-02 06:00:00,516,21.7
326,19,2022-01-14 09:00:00,251,78.3
327,315,2022-01-08 13:00:00,554,60.1
328,281,2022-01-07 10:00:00,488,54.6
329,311,2022-01-25 17:00:00,363,85.8
330,48,2022-01-05 18:00:00,137,76.9
331,289,2022-01-24 17:00:00,506,30.0
332,454,2022-01-06 02:00:00,268,26.5
333,68,2022-01-15 22:00:00,576,48.4
334,157,2022-01-25 13:00:00,267,81.1
335,248,2022-01-05 13:00:00,324,88.0
336,155,2022-01-25 01:00:00,539,66.4
337,282,2022-01-02 05:00:00,197,82.4
338,216,2022-01-20 06:00:00,443,55.9
339,9,2022-01-20 13:00:00,331,63.2
340,421,2022-01-19 00:00:00,405,87.8
341,388,2022-01-11 07:00:00,87,53.8
342,411,2022-01-24 05:00:00,499,77.0
343,183,2022-01-19 11:00:00,110,49.8
344,179,2022-01-27 18:00:00,411,47.1
345,151,2022-01-12 10:00:00,433,37.6
346,310,2022-01-22 22:00:00,527,76.3
347,250,2022-01-06 05:00:00,520,87.6
348,34,2022-01-04 17:00:00,561,70.9
349,205,2022-01-05 10:00:00,47,25.9
350,73,2022-01-26 01:00:00,580,49.6
351,92,2022-01-11 09:00:00,159,23.0
352,150,2022-01-04 23:00:00,76,22.3
353,56,2022-01-24 10:00:00,209,83.6
354,209,2022-01-13 04:00:00,131,90.7
355,397,2022-01-22 01:00:00,376,86.4
356,200,2022-01-17 02:00:00,293,69.9
357,440,2022-01-21 09:00:00,79,78.9
358,128,2022-01-25 06:00:00,88,24.7
359,461,2022-01-04 04:00:00,578,70.7
360,478,2022-01-02 19:00:00,114,47.8
361,152,2022-01-23 23:00:00,162,93.2
362,375,2022-01-02 16:00:00,24,88.9
363,260,2022-01-04 09:00:00,161,20.6
364,165,2022-01-24 01:00:00,24,30.6
365,74,2022-01-03 00:00:00,456,58.3
366,331,2022-01-26 10:00:00,47,60.3
367,206,2022-01-09 14:00:00,390,40.6
368,291,2022-01-12 12:00:00,186,43.9
369,139,2022-01-13 23:00:00,314,84.9
370,14,2022-01-18 03:00:00,35,27.1
371,281,2022-01-17 06:00:00,337,90.4
372,232,2022-01-08 05:00:00,259,84.7
373,79,2022-01-16 17:00:00,169,44.4
374,449,2022-01-29 00:00:00,104,27.5
375,61,2022-01-22 18:00:00,17,48.7
376,328,2022-01-21 21:00:00,174,57.4
377,367,2022-01-07 15:00:00,324,74.6
378,368,2022-01-13 01:00:00,553,89.1
379,468,2022-01-19 08:00:00,468,54.9
380,76,2022-01-18 14:00:00,71,23.5
381,373,2022-01-18 08:00:00,424,37.8
382,321,2022-01-25 02:00:00,313,67.9
383,451,2022-01-21 19:00:00,596,99.1
384,17,2022-01-16 17:00:00,136,28.7
385,427,2022-01-01 01:00:00,590,50.7
386,292,2022-01-01 17:00:00,185,45.3
387,241,2022-01-26 12:00:00,123,24.8
388,486,2022-01-20 10:00:00,342,70.0
389,471,2022-01-09 17:00:00,541,29.9
390,57,2022-01-01 10:00:00,247,89.8
391,142,2022-01-19 12:00:00,389,60.9
392,40,2022-01-23 15:00:00,10,98.8
393,55,2022-01-27 13:00:00,202,75.8
394,423,2022-01-21 14:00:00,153,80.7
395,270,2022-01-19 20:00:00,502,69.4
396,137,2022-01-02 11:00:00,556,99.1
397,196,2022-01-04 11:00:00,196,87.9
398,142,2022-01-25 11:00:00,145,37.8
399,47,2022-01-17 15:00:00,478,87.5
400,332,2022-01-26 02:00:00,79,79.7
401,185,2022-01-09 02:00:00,365,43.7
402,448,2022-01-19 16:00:00,43,67.6
403,405,2022-01-24 12:00:00,259,66.4
404,223,2022-01-18 02:00:00,142,30.5
405,437,2022-01-26 03:00:00,450,35.3
406,389,2022-01-05 12:00:00,299,66.7
407,281,2022-01-27 17:00:00,263,20.7
408,100,2022-01-15 10:00:00,517,24.8
409,41,2022-01-18 04:00:00,396,80.9
410,441,2022-01-08 18:00:00,351,92.0
411,376,2022-01-08 22:00:00,174,51.0
412,241,2022-01-15 03:00:00,386,44.3
413,393,2022-01-22 04:00:00,339,28.1
414,125,2022-01-06 03:00:00,497,57.7
415,374,2022-01-23 04:00:00,128,56.6
416,298,2022-01-18 22:00:00,36,70.1
417,377,2022-01-29 21:00:00,413,75.1
418,113,2022-01-21 20:00:00,392,34.5
419,321,2022-01-21 06:00:00,29,82.0
420,334,2022-01-28 19:00:00,257,47.1
421,251,2022-01-27 04:00:00,147,45.1
422,133,2022-01-04 00:00:00,439,68.8
423,340,2022-01-22 14:00:00,386,86.1
424,232,2022-01-21 01:00:00,148,53.2
425,149,2022-01-07 14:00:00,391,56.5
426,500,2022-01-01 07:00:00,192,22.8
427,434,2022-01-29 18:00:00,342,43.9
428,394,2022-01-08 16:00:00,221,25.4
429,124,2022-01-22 05:00:00,100,61.0
430,498,2022-01-16 03:00:00,468,51.1
431,480,2022-01-09 16:00:00,362,27.9
432,212,2022-01-07 23:00:00,334,85.5
433,118,2022-01-04 20:00:00,421,41.8
434,419,2022-01-14 15:00:00,65,36.1
435,452,2022-01-20 11:00:00,567,38.2
436,439,2022-01-05 15:00:00,67,95.0
437,346,2022-01-24 21:00:00,445,44.9
438,384,2022-01-19 14:00:00,412,83.8
439,398,2022-01-04 01:00:00,328,46.2
440,265,2022-01-29 07:00:00,275,99.1
441,233,2022-01-16 21:00:00,360,30.3
442,236,2022-01-12 07:00:00,111,51.0
443,101,2022-01-29 00:00:00,262,52.0
444,236,2022-01-16 06:00:00,68,80.1
445,226,2022-01-17 04:00:00,102,80.4
446,124,2022-01-22 13:00:00,84,33.9
447,307,2022-01-13 19:00:00,475,74.8
448,344,2022-01-06 19:00:00,185,32.6
449,191,2022-01-16 09:00:00,477,55.0
450,429,2022-01-22 03:00:00,291,44.4
451,368,2022-01-14 07:00:00,390,39.1
452,8,2022-01-21 18:00:00,132,57.5
453,52,2022-01-14 15:00:00,50,91.5
454,100,2022-01-25 02:00:00,165,31.9
455,432,2022-01-26 13:00:00,264,94.4
456,259,2022-01-18 00:00:00,92,91.3
457,481,2022-01-08 10:00:00,252,87.4
458,362,2022-01-25 21:00:00,500,77.5
459,253,2022-01-14 03:00:00,143,20.7
460,195,2022-01-20 22:00:00,190,70.0
461,402,2022-01-21 01:00:00,247,24.2
462,404,2022-01-25 15:00:00,387,91.9
463,173,2022-01-24 11:00:00,577,22.1
464,39,2022-01-06 06:00:00,492,91.1
465,153,2022-01-19 07:00:00,201,34.5
466,256,2022-01-12 11:00:00,316,49.5
467,427,2022-01-12 23:00:00,179,90.2
468,290,2022-01-08 00:00:00,264,100.0
469,362,2022-01-28 04:00:00,529,41.4
470,129,2022-01-01 07:00:00,530,90.1
471,97,2022-01-12 16:00:00,277,91.1
472,492,2022-01-18 10:00:00,574,83.9
473,62,2022-01-22 09:00:00,577,52.0
474,126,2022-01-04 20:00:00,420,95.6
475,121,2022-01-05 10:00:00,36,90.6
476,467,2022-01-04 14:00:00,587,47.6
477,50,2022-01-05 17:00:00,303,36.9
478,438,2022-01-03 18:00:00,483,67.6
479,370,2022-01-05 22:00:00,229,83.4
480,165,2022-01-12 01:00:00,256,22.9
481,207,2022-01-29 19:00:00,524,52.6
482,227,2022-01-09 20:00:00,572,99.3
483,247,2022-01-26 21:00:00,93,78.0
484,281,2022-01-29 07:00:00,404,92.3
485,295,2022-01-01 23:00:00,161,31.0
486,246,2022-01-20 05:00:00,139,25.6
487,200,2022-01-11 20:00:00,78,85.9
488,52,2022-01-21 20:00:00,419,42.7
489,274,2022-01-11 02:00:00,341,27.2
490,491,2022-01-11 03:00:00,373,63.0
491,38,2022-01-17 00:00:00,275,57.9
492,169,2022-01-13 16:00:00,168,30.2
493,344,2022-01-08 13:00:00,380,26.0
494,156,2022-01-15 03:00:00,102,55.3
495,285,2022-01-15 21:00:00,231,53.5
496,149,2022-01-12 06:00:00,594,77.5
497,421,2022-01-08 01:00:00,334,37.8
498,475,2022-01-26 02:00:00,561,50.6
499,273,2022-01-12 05:00:00,514,68.9
500,394,2022-01-16 03:00:00,315,62.0
501,338,2022-01-03 00:00:00,485,58.3
502,431,2022-01-21 15:00:00,533,80.1
503,488,2022-01-08 11:00:00,459,89.2
504,95,2022-01-27 08:00:00,47,83.4
505,405,2022-01-26 10:00:00,79,31.0
506,150,2022-01-24 20:00:00,288,46.0
507,66,2022-01-29 20:00:00,119,89.6
508,113,2022-01-27 14:00:00,98,89.1
509,389,2022-01-06 09:00:00,297,31.7
510,424,2022-01-13 17:00:00,30,37.1
511,327,2022-01-10 09:00:00,296,63.3
512,249,2022-01-15 07:00:00,485,66.6
513,204,2022-01-05 06:00:00,292,44.1
514,324,2022-01-01 19:00:00,36,33.3
515,499,2022-01-23 05:00:00,475,26.0
516,3,2022-01-03 10:00:00,288,38.6
517,436,2022-01-10 06:00:00,48,81.6
518,327,2022-01-11 19:00:00,406,45.6
519,12,2022-01-02 06:00:00,425,77.3
520,432,2022-01-23 20:00:00,12,53.2
521,479,2022-01-09 15:00:00,156,80.4
522,145,2022-01-08 23:00:00,495,39.5
523,266,2022-01-10 15:00:00,228,31.7
524,245,2022-01-04 18:00:00,538,93.7
525,480,2022-01-06 23:00:00,241,46.0
526,294,2022-01-29 23:00:00,589,30.1
527,218,2022-01-01 00:00:00,174,84.2
528,142,2022-01-26 14:00:00,413,30.4
529,221,2022-01-11 02:00:00,263,79.3
530,366,2022-01-24 09:00:00,103,92.0
531,470,2022-01-17 17:00:00,159,65.2
532,484,2022-01-06 21:00:00,536,86.4
533,223,2022-01-27 13:00:00,49,88.6
534,338,2022-01-28 06:00:00,112,77.7
535,8,2022-01-18 21:00:00,232,97.1
536,444,2022-01-28 03:00:00,473,87.8
537,221,2022-01-23 07:00:00,103,98.9
538,90,2022-01-10 20:00:00,23,57.4
539,118,2022-01-16 12:00:00,373,84.3
540,125,2022-01-23 04:00:00,557,40.7
541,256,2022-01-29 23:00:00,526,66.5
542,360,2022-01-23 16:00:00,342,86.5
543,209,2022-01-12 07:00:00,480,58.4
544,42,2022-01-16 07:00:00,128,21.6
545,436,2022-01-17 15:00:00,587,40.0
546,193,2022-01-25 05:00:00,268,90.1
547,438,2022-01-29 17:00:00,575,67.8
548,8,2022-01-11 06:00:00,322,94.3
549,93,2022-01-03 12:00:00,374,33.7
550,180,2022-01-06 04:00:00,584,98.7
551,442,2022-01-19 10:00:00,231,36.0
552,262,2022-01-16 11:00:00,444,63.0
553,181,2022-01-04 02:00:00,373,99.3
554,333,2022-01-03 14:00:00,117,53.0
555,238,2022-01-29 23:00:00,494,74.2
556,28,2022-01-10 06:00:00,412,51.6
557,200,2022-01-03 07:00:00,378,38.7
558,492,2022-01-10 15:00:00,230,58.1
559,319,2022-01-24 18:00:00,355,73.2
560,419,2022-01-21 17:00:00,350,38.5
561,348,2022-01-02 19:00:00,562,41.8
562,88,2022-01-01 06:00:00,30,34.8
563,246,2022-01-27 23:00:00,29,92.3
564,112,2022-01-10 01:00:00,132,51.3
565,343,2022-01-15 06:00:00,552,60.8
566,419,2022-01-27 22:00:00,394,20.9
567,419,2022-01-07 21:00:00,458,42.0
568,493,2022-01-11 09:00:00,502,23.0
569,427,2022-01-14 13:00:00,366,33.1
570,10,2022-01-09 19:00:00,296,74.7
571,472,2022-01-01 12:00:00,569,60.2
572,119,2022-01-15 13:00:00,565,66.8
573,273,2022-01-22 09:00:00,246,94.4
574,306,2022-01-22 05:00:00,103,56.4
575,447,2022-01-08 11:00:00,319,97.9
576,237,2022-01-25 12:00:00,382,47.9
577,71,2022-01-06 04:00:00,30,61.8
578,148,2022-01-22 00:00:00,216,39.4
579,360,2022-01-14 10:00:00,134,51.9
580,227,2022-01-20 03:00:00,438,94.2
581,102,2022-01-18 23:00:00,586,62.2
582,351,2022-01-04 01:00:00,403,74.7
583,273,2022-01-12 07:00:00,111,39.2
584,157,2022-01-27 12:00:00,178,20.5
585,155,2022-01-13 16:00:00,573,50.4
586,177,2022-01-09 09:00:00,143,58.2
587,133,2022-01-06 19:00:00,175,29.9
588,40,2022-01-06 07:00:00,67,85.5
589,69,2022-01-24 06:00:00,137,21.5
590,493,2022-01-05 04:00:00,484,74.9
591,46,2022-01-06 08:00:00,370,44.2
592,163,2022-01-06 18:00:00,432,67.2
593,259,2022-01-10 20:00:00,68,51.0
594,248,2022-01-19 21:00:00,514,83.2
595,177,2022-01-08 16:00:00,60,69.3
596,373,2022-01-21 01:00:00,40,50.9
597,186,2022-01-20 07:00:00,152,77.6
598,310,2022-01-25 01:00:00,382,94.6
599,358,2022-01-14 17:00:00,287,29.3
600,229,2022-01-07 00:00:00,232,62.7
601,141,2022-01-02 13:00:00,18,55.4
602,33,2022-01-10 07:00:00,355,28.8
603,62,2022-01-13 18:00:00,115,36.8
604,364,2022-01-17 14:00:00,421,98.9
605,278,2022-01-12 12:00:00,296,22.2
606,241,2022-01-27 11:00:00,374,67.8
